項目A,項目B,項目C
いいえ,赤,2
いいえ,緑,1
いいえ,緑,3
いいえ,赤,3
いいえ,青,1
はい,緑,5
いいえ,青,2
はい,赤,5
いいえ,赤,1
いいえ,青,1
はい,青,5
はい,緑,5
はい,緑,3
いいえ,青,2
はい,赤,5
いいえ,緑,2
はい,赤,5
いいえ,緑,1
はい,緑,4
いいえ,緑,2
はい,青,4
はい,緑,5
いいえ,緑,2
いいえ,緑,2
いいえ,緑,3
はい,赤,4
いいえ,青,1
はい,赤,5
いいえ,青,1
はい,青,4
はい,緑,4
いいえ,赤,3
いいえ,青,1
はい,赤,5
いいえ,青,1
はい,赤,5
いいえ,青,1
はい,緑,4
はい,青,4
はい,赤,5
いいえ,緑,2
いいえ,緑,3
いいえ,青,2
はい,緑,5
いいえ,赤,3
いいえ,青,1
はい,緑,5
いいえ,緑,3
はい,赤,5
いいえ,赤,1
いいえ,緑,2
いいえ,赤,3
いいえ,緑,1
いいえ,青,2
はい,緑,4
いいえ,青,1
はい,青,4
はい,緑,4
いいえ,緑,3
いいえ,緑,2
はい,赤,4
いいえ,青,1
はい,緑,4
いいえ,青,1
はい,緑,4
いいえ,青,1
はい,青,4
はい,青,5
はい,緑,4
はい,青,4
はい,青,4
はい,緑,5
はい,赤,5
いいえ,緑,1
はい,青,3
はい,緑,5
いいえ,緑,3
いいえ,緑,3
いいえ,青,2
はい,赤,5
いいえ,緑,2
はい,緑,4
いいえ,赤,3
いいえ,赤,1
いいえ,緑,2
いいえ,赤,2
いいえ,緑,2
いいえ,青,2
はい,緑,4
いいえ,青,1
はい,緑,4
いいえ,青,1
はい,緑,5
はい,緑,4
はい,緑,3
はい,青,3
はい,赤,5
いいえ,赤,2
いいえ,緑,1
はい,赤,5
